ID_Trecho,Estado,Consumo_Mensal_m3,Variação_Consumo_%,Temperatura_Média_°C,Pressão_na_Rede_bar,Idade_Duto_anos,Histórico_Falhas_12M,Manutenções_12M,Tipo_Cliente,Múltiplas_Previsões,Contexto_Explicativo,Código_Auxiliar,Perguntas_Reflexivas,Estímulo_Direcional
1,Roraima,8629,-10.56,31.22,3.6,22,1,0,Industrial,Previsão 1: 12308.67 m³ | Previsão 2: 14383.40 m³,A demanda de gás nesta região é influenciada pela temperatura média de 22.1°C e variação de consumo de -13.98%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
2,Mato Grosso,2016,14.93,34.3,1.19,17,2,2,Comercial,Previsão 1: 6812.33 m³ | Previsão 2: 5664.96 m³,A demanda de gás nesta região é influenciada pela temperatura média de 33.0°C e variação de consumo de 5.92%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
3,Pará,8869,-7.0,24.96,4.8,7,4,2,Residencial,Previsão 1: 12411.21 m³ | Previsão 2: 10744.73 m³,A demanda de gás nesta região é influenciada pela temperatura média de 27.3°C e variação de consumo de -6.08%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
4,Roraima,7439,14.3,28.29,4.55,25,4,2,Residencial,Previsão 1: 13418.29 m³ | Previsão 2: 6397.72 m³,A demanda de gás nesta região é influenciada pela temperatura média de 33.4°C e variação de consumo de 12.73%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
5,Amazonas,8892,-2.67,28.58,2.04,45,0,0,Comercial,Previsão 1: 12952.67 m³ | Previsão 2: 7016.27 m³,A demanda de gás nesta região é influenciada pela temperatura média de 32.0°C e variação de consumo de 14.13%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
6,Pará,7863,-14.01,34.7,1.06,4,0,1,Comercial,Previsão 1: 6636.56 m³ | Previsão 2: 6642.66 m³,A demanda de gás nesta região é influenciada pela temperatura média de 26.4°C e variação de consumo de 13.33%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
7,Pará,8916,-4.65,21.13,4.73,36,1,0,Comercial,Previsão 1: 13145.75 m³ | Previsão 2: 11651.97 m³,A demanda de gás nesta região é influenciada pela temperatura média de 20.3°C e variação de consumo de -0.77%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
8,Roraima,9529,4.03,24.59,3.0,6,0,1,Industrial,Previsão 1: 10230.65 m³ | Previsão 2: 8588.30 m³,A demanda de gás nesta região é influenciada pela temperatura média de 24.0°C e variação de consumo de 10.86%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
9,Amapá,1878,5.42,22.86,3.16,31,2,2,Industrial,Previsão 1: 13772.01 m³ | Previsão 2: 8924.45 m³,A demanda de gás nesta região é influenciada pela temperatura média de 28.1°C e variação de consumo de 10.34%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
10,Amazonas,5887,0.93,24.03,3.74,19,4,2,Residencial,Previsão 1: 13165.99 m³ | Previsão 2: 9391.35 m³,A demanda de gás nesta região é influenciada pela temperatura média de 29.5°C e variação de consumo de -5.43%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
